Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Suiza,1,1,2,33,2,0,3,1,1,1,,1,2,150,1,3,2,4,3,3,3,2,2,3,2,2,2,2
España,2,2,3,1,2,0,3,1,1,2,6,1,2,590,2,1,2,4,4,3,3,4,4,3,4,4,4,4
Argentina,1,1,3,11,1,0,3,1,4,2,6,1,2,320,1,1,2,4,4,3,4,4,3,3,4,4,4,4
Brasil,2,2,2,26,3,0,3,1,1,2,1,2,3,80,2,1,2,3,3,3,4,4,3,3,3,3,3,3
Brasil,1,1,4,33,2,0,3,2,1,1,2,1,2,50,1,3,2,4,4,3,3,3,2,4,3,3,3,3
Costa Rica,1,2,3,33,1,0,3,1,1,1,2,1,2,120,1,1,2,4,3,3,4,3,3,4,3,2,3,5
USA,2,2,4,33,3,0,3,1,1,1,2,1,4,180,4,1,1,4,4,4,4,4,4,2,3,3,3,4
Marruecos,1,2,4,33,3,1,1,1,1,2,6,1,2,750,1,2,5,1,2,2,1,3,4,2,3,1,1,3
Ucrania,2,2,3,33,3,1,1,1,1,2,6,1,2,750,1,3,4,3,3,3,2,2,2,1,2,2,3,3
Rumania,2,1,3,33,4,0,1,1,2,2,1,1,2,400,1,1,3,4,3,3,3,2,4,2,3,1,1,1
Rumania,2,1,3,33,4,0,1,1,2,2,1,1,2,350,1,1,2,4,4,3,3,3,3,2,3,1,1,3
Marruecos,1,2,3,33,2,0,3,1,1,1,2,1,2,700,1,1,5,2,3,3,3,2,4,2,3,1,1,2
Marruecos,2,2,4,33,2,0,3,2,1,1,2,1,2,700,1,3,3,3,2,3,1,2,2,2,3,1,1,3
Francia,2,2,4,33,2,0,3,1,1,1,1,1,2,420,2,1,2,3,3,3,4,3,3,4,3,4,3,4
Chile,2,1,3,12,4,0,2,2,4,1,2,2,2,470,1,3,2,3,2,3,3,4,4,3,3,2,3,4
Brasil,2,3,2,33,2,0,3,1,1,1,4,1,2,140,2,1,2,3,4,2,3,4,3,3,4,3,4,3
Argentina,2,1,3,5,1,0,3,1,1,1,1,1,2,300,1,1,2,2,3,2,3,3,3,2,3,3,4,3
Chile,1,1,3,15,2,0,3,1,1,2,1,2,7,100,2,1,2,3,4,4,3,3,3,2,3,3,3,3
USA,2,1,3,33,4,0,2,2,4,2,1,2,2,380,1,1,2,4,3,3,4,4,3,2,2,3,3,3
Colombia,1,2,2,33,2,0,3,1,1,1,2,1,2,100,2,1,2,4,3,3,3,4,3,3,3,4,4,3
USA,2,2,4,33,1,0,1,2,1,1,,2,3,350,1,3,5,2,2,1,1,1,2,1,1,1,1,2
Canada,1,1,3,33,1,0,1,2,3,1,1,2,2,300,1,3,5,2,2,2,2,2,2,2,2,2,2,2
USA,1,5,4,33,1,0,6,2,1,2,1,2,2,350,3,3,2,3,3,3,2,3,3,2,1,2,2,3
USA,2,5,3,33,4,0,2,1,1,1,1,2,2,1900,1,3,3,3,3,3,2,2,1,3,3,3,2,3
USA,2,1,3,33,4,0,2,1,1,1,5,2,3,2200,1,3,3,2,2,2,1,1,2,1,1,1,2,3
USA,2,1,3,33,4,0,2,1,1,1,5,2,2,1800,2,1,3,2,3,3,3,3,2,1,1,1,1,3
Mexico,2,5,3,33,1,0,6,2,1,1,2,1,1,900,1,2,5,2,1,2,2,2,3,2,1,2,3,5
USA,2,5,3,33,4,0,3,1,1,1,1,1,2,1200,2,1,3,3,3,3,2,2,2,1,2,2,3,3
Inglaterra,2,1,3,33,4,0,1,2,1,1,1,1,2,1850,1,3,5,2,2,2,2,2,2,2,2,2,2,3
USA,1,1,3,33,4,0,3,1,1,1,6,1,3,1350,1,3,5,3,3,3,3,3,3,3,3,3,3,3
España,1,1,2,33,1,0,3,1,1,1,6,1,2,420,1,2,3,2,3,3,3,2,2,3,3,2,3,4
Chile,2,2,3,33,2,1,3,2,1,2,6,1,3,840,1,1,2,4,3,3,4,3,3,4,4,4,3,3
Brasil,2,3,4,33,1,0,3,2,1,2,2,2,3,245,1,3,2,4,3,3,3,3,4,3,3,4,3,3
USA,2,1,2,33,1,0,3,2,1,2,6,1,3,1400,1,1,1,4,3,4,4,3,4,4,4,4,3,4
España,1,4,2,33,4,0,3,2,1,2,6,1,2,220,3,1,2,4,4,3,4,4,4,4,3,4,4,3
Venezuela,1,1,2,33,2,0,3,1,1,1,1,1,3,980,1,1,1,4,4,4,4,4,3,4,3,4,4,3
Brasil,1,1,2,33,4,0,3,2,1,2,6,1,5,348,2,1,1,4,3,3,4,4,3,4,4,4,3,4
Argentina,1,1,3,33,4,0,3,2,1,2,6,1,2,580,3,1,2,4,4,4,4,3,4,3,4,3,4,3
Colombia,1,1,2,33,4,0,3,1,1,1,1,1,4,840,1,1,1,3,4,3,3,3,3,4,3,3,3,4
Japon,1,2,3,33,2,2,3,1,1,2,5,1,3,180,1,2,2,2,2,2,2,3,3,1,2,2,2,4
España,2,1,3,33,1,0,1,2,2,3,,2,2,150,1,2,2,2,3,1,3,3,3,2,3,2,3,3
USA,1,1,3,33,3,0,3,2,4,2,2,2,2,200,1,2,2,2,3,3,2,3,3,2,3,2,3,2
USA,2,1,3,33,3,0,3,2,4,2,1,2,2,150,1,2,2,2,3,2,3,3,3,3,2,2,3,3
España,2,1,3,33,1,0,3,2,4,2,1,2,2,180,1,2,3,2,2,2,2,2,2,2,2,2,2,3
USA,2,1,3,12,1,0,2,2,4,1,2,2,3,940,1,1,2,3,3,2,4,3,3,3,3,4,3,3
USA,2,2,3,33,2,0,2,2,4,2,2,2,2,620,1,1,2,4,3,3,4,3,4,4,3,3,4,4
USA,2,1,3,12,4,0,2,2,4,1,2,2,3,430,1,1,2,4,4,3,3,4,3,4,4,3,3,3
USA,2,1,3,25,4,0,2,2,4,1,2,2,4,360,1,3,2,3,3,3,3,4,4,3,3,3,2,3
USA,1,1,3,12,4,0,2,2,4,3,2,2,3,420,1,1,2,4,3,3,4,4,3,4,3,3,3,3
USA,1,2,2,33,2,0,2,2,4,2,2,1,2,580,1,3,2,3,2,3,4,4,3,4,3,3,3,4
Canada,2,1,2,33,1,0,2,2,4,3,6,2,3,320,1,3,2,3,3,3,3,4,3,3,3,3,4,3
USA,2,1,3,21,1,0,2,2,4,2,2,2,2,350,1,3,2,3,4,3,3,4,3,4,3,3,3,2
USA,2,5,3,12,4,0,2,2,4,3,2,2,3,480,1,3,2,2,4,3,4,4,3,3,2,3,3,3
Canada,1,1,2,33,1,0,3,1,4,3,6,1,5,450,2,1,2,3,4,3,3,4,3,2,3,4,3,4
Alemania,1,2,4,29,2,0,3,2,3,3,2,2,2,400,4,1,2,4,3,4,3,3,3,4,4,4,2,4
USA,2,4,4,33,1,0,3,1,1,1,6,1,2,300,3,1,2,3,2,2,3,3,2,2,2,2,2,2
Francia,2,2,3,13,4,0,3,1,1,2,2,2,3,200,3,3,3,2,3,2,2,3,3,2,2,2,1,2
USA,2,5,2,33,3,3,3,1,2,1,1,2,2,350,2,1,2,4,4,4,4,4,4,2,2,2,2,2
Francia,2,2,4,29,1,0,3,2,2,2,1,2,2,300,2,1,2,3,4,4,3,3,4,2,2,3,2,2
