Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Mexico,2,2,2,33,1,0,3,2,1,2,1,2,2,140,2,1,2,4,3,3,3,4,4,4,4,4,3,2
Chile,1,1,3,3,2,0,3,1,1,1,2,1,1,80,1,1,1,3,3,4,3,4,4,4,2,4,3,5
Escocia,1,1,4,29,1,0,6,1,1,3,5,2,1,50,1,3,2,2,2,1,3,3,3,2,3,3,3,5
Uruguay,2,2,4,29,2,1,6,1,1,1,2,1,1,200,1,2,2,4,4,4,4,4,4,3,3,4,3,5
Venezuela,1,1,3,5,3,2,3,1,2,2,2,2,2,100,1,1,2,3,3,3,3,3,3,3,3,3,3,5
Bolivia,1,1,4,2,4,2,6,1,2,2,1,2,1,80,1,1,1,5,5,5,3,3,3,3,3,3,3,5
Argentina,2,1,4,1,1,2,3,1,1,2,1,1,5,150,1,3,2,3,3,3,3,3,3,3,3,3,3,5
Colombia,2,1,4,3,1,2,6,1,1,2,2,1,1,80,1,2,2,4,4,4,4,4,4,4,4,4,4,5
Colombia,1,2,3,2,4,0,3,1,1,1,1,1,2,150,2,3,2,3,3,3,3,3,3,3,2,2,2,2
Colombia,1,5,3,2,4,0,3,1,1,1,1,1,2,150,2,3,2,3,3,3,3,3,3,2,3,2,2,2
Colombia,2,2,3,26,3,1,3,1,1,1,1,1,2,150,2,3,2,3,3,3,3,3,3,2,2,3,2,2
Colombia,1,2,3,26,3,1,3,1,1,1,1,1,2,150,2,3,2,3,3,3,3,3,3,2,2,3,2,2
Colombia,2,2,3,2,4,0,3,1,1,1,1,1,2,150,2,3,2,3,3,3,3,3,3,2,2,2,2,2
Mexico,1,1,4,6,1,0,3,2,2,2,3,1,1,200,1,1,2,5,5,5,3,3,2,2,3,3,3,5
Chile,2,1,3,28,3,0,3,1,1,2,1,2,2,150,1,1,1,3,3,3,3,3,3,2,2,2,3,5
Italia,2,2,4,1,2,0,6,1,1,2,6,1,2,300,1,1,2,3,3,3,4,3,4,3,2,2,2,5
Colombia,2,1,4,3,2,0,3,1,1,1,2,1,1,200,1,1,1,3,3,3,3,3,3,3,3,3,3,5
Inglaterra,2,1,4,3,2,0,1,1,1,2,2,2,3,250,1,3,1,2,3,3,3,3,3,3,3,3,3,5
Chile,1,1,4,2,3,0,3,1,1,2,1,2,11,100,3,1,2,3,3,2,4,3,4,1,3,3,3,5
